cik,name,arm,failed,detail
1635088,Roivant Sciences Ltd.  (ROIV)  (CIK 0001635088),DESPAC,C0,"6.2 years of EDGAR history before the registration statement (earliest filing 2015-03-16, SC 13D) - not a new listing"
1639225,"Livongo Health, Inc.  (CIK 0001639225)",IPO,C3,1 annual reports after listing (need 3)
1640043,"Pyxis Tankers Inc.  (PXS, PXSAP, PXSAW)  (CIK 0001640043)",IPO,C0,"5.3 years of EDGAR history before the registration statement (earliest filing 2015-04-23, F-4) - not a new listing"
1643269,"Sumo Logic, Inc.  (CIK 0001643269)",IPO,C0,"5.2 years of EDGAR history before the registration statement (earliest filing 2015-06-01, D) - not a new listing"
1647170,"Tapinator, Inc.  (CIK 0001647170)",IPO,C1b,"4 periodic reports predate the registration statement (earliest 10-Q 2018-11-13) - already public, not a listing"
1647639,"Upstart Holdings, Inc.  (UPST)  (CIK 0001647639)",IPO,C0,"5.3 years of EDGAR history before the registration statement (earliest filing 2015-07-16, D) - not a new listing"
1653482,Gitlab Inc.  (GTLB)  (CIK 0001653482),IPO,C0,"6.0 years of EDGAR history before the registration statement (earliest filing 2015-09-24, D) - not a new listing"
1653909,"Allbirds, Inc.  (BIRD)  (CIK 0001653909)",IPO,C0,"5.5 years of EDGAR history before the registration statement (earliest filing 2016-03-11, D) - not a new listing"
1658551,"Amylyx Pharmaceuticals, Inc.  (AMLX)  (CIK 0001658551)",IPO,C0,"6.1 years of EDGAR history before the registration statement (earliest filing 2015-11-17, D) - not a new listing"
1661053,"Hancock Jaffe Laboratories, Inc.  (NVNO, NVNBW)  (CIK 0001661053)",IPO,C1b,"3 periodic reports predate the registration statement (earliest 10-Q 2018-08-10) - already public, not a listing"
1666054,Authentic Brands Group Inc.  (CIK 0001666054),IPO,C3,0 annual reports after listing (need 3)
1667011,"Arteris, Inc.  (AIP)  (CIK 0001667011)",IPO,C0,"5.6 years of EDGAR history before the registration statement (earliest filing 2016-02-19, D) - not a new listing"
